"Country","OblName","PostCodeList","City","lang_code"
"RU","MOS","","1 Мая мкр.","ru"
"RU","BA","","1-е Туркменево","ru"
"RU","MOS","","1-й Рабочий Поселок","ru"
"RU","ROS","347722","1-й Россошинский","ru"
"RU","KRS","307041","1-я Гостомля","ru"
"RU","TUL","","12 Лет Октября","ru"
"RU","AD","","17 Лет Октября","ru"
"RU","MOS","","2-ая Смирновка","ru"
"RU","VOR","397463","2-го участка института им Докучаева","ru"
"RU","MOS","","2-й Бисеровский Участок","ru"
"RU","ROS","346817","2-я Александровка","ru"
"RU","KEM","652196","2-я пристань","ru"
"RU","MOS","","47 км МКАД","ru"
"RU","MOW","","5663234234","ru"
"RU","NVS","633227","65 Км","ru"
"RU","BEL","309425","71 км казарма","ru"
"RU","KDA","","8 Марта","ru"
"RU","KEM","","8-е Марта","ru"
"RU","MOW","","Абабурово","ru"
"RU","SA","678109","Абага Центральная","ru"
"RU","KEM","","Абагур","ru"
"RU","AD","385774","Абадзехская","ru"
"RU","KK","655750,655751","Абаза","ru"
"KZ","ALM","","Абай","ru"
"RU","KK","655000,655001,655002,655003,655004,655005,655006,655007,655008,655009,655010,655011,655012,655014,655015,655016,655017,655018,655019,655022,655400,655617,655899,655961,655965,655966","Абакан","ru"
"RU","VLG","","Абаканово","ru"
"RU","KYA","663141","Абалаково","ru"
"RU","BEL","309671","Абалмасов","ru"
"RU","KYA","663740","Абан","ru"
"RU","TYU","627540","Абатское","ru"
"RU","PNZ","442603","Абашево","ru"
"RU","MOS","","Аббакумово","ru"
"RU","VLA","","Аббакумово","ru"
"RU","VGG","404302","Абганерово","ru"
"RU","TA","423441","Абдрахманово","ru"
"RU","ORE","461740,461742,461743,461744","Абдулино","ru"
"RU","BA","","Абзаково","ru"
"RU","BA","","Абзаново","ru"
"RU","KDA","353320,353322,353329","Абинск","ru"
"RU","BA","452771","Аблаево","ru"
"KZ","VOS","","Аблакетка","ru"
"AM","KT","","Абовян","ru"
"RU","MOS","","Аборино","ru"
"RU","MUR","","Абрам-Мыс","ru"
"RU","ROS","","Абрамовка","ru"
"RU","ULY","433161","Абрамовка","ru"
"RU","VOR","397490,397491","Абрамовка","ru"
"BY","HO","247114","Абрамовка","ru"
"RU","NIZ","607251","Абрамово","ru"
"RU","NVS","632352","Абрамово","ru"
"RU","SVE","","Абрамово","ru"
"BY","BR","225062","Абрамово","ru"
