Country,OblName,City,edost
RU,KK,Абаза,842
RU,KK,Абакан,839
RU,ORE,Абдулино,641
RU,KDA,Абинск,442
RU,CE,Автуры,403
RU,BA,Агидель,547
RU,TA,Агрыз,592
RU,TA,Азнакаево,579
RU,ROS,Азов,516
RU,SA,Айхал,970
RU,ORE,Акбулак,652
RU,ROS,Аксай,532
RU,SE,Алагир,390
RU,SVE,Алапаевск,726
RU,CU,Алатырь,609
RU,SA,Алдан,967
RU,ALT,Алейск,847
RU,VLA,Александров,27
RU,PER,Александровск,663
RU,STA,Александровское,471
RU,BEL,Алексеевка,2
RU,TUL,Алексин,232
RU,CRI,Алушта,2285
RU,TA,Альметьевск,580
RU,KHA,Амурск,991
RU,CHU,Анадырь,2283
RU,KDA,Анапа,408
RU,IRK,Ангарск,885
RU,KEM,Анжеро-Судженск,907
RU,VOR,Анна,53
RU,MUR,Апатиты,326
RU,MOS,Апрелевка,154
RU,KDA,Апшеронск,425
RU,SVE,Арамиль,764
RU,CE,Аргун,395
RU,SE,Ардон,391
RU,NIZ,Арзамас,622
RU,STA,Арзгир,473
RU,SAR,Аркадак,707
RU,KDA,Армавир,409
RU,CRI,Армянск,2286
RU,PRI,Арсеньев,973
RU,TA,Арск,593
RU,PRI,Артем,974
RU,SVE,Артемовский,727
RU,ARK,Архангельск,272
RU,SVE,Асбест,728
RU,TOM,Асино,952
RU,AST,Астрахань,489
RU,SAR,Аткарск,696
RU,KDA,Афипский,447
RU,AST,Ахтубинск,490
RU,KDA,Ахтырский,423
RU,KYA,Ачинск,861
RU,CE,Ачхой-Мартан,399
RU,CHE,Аша,803
RU,TA,Бавлы,581
RU,ROS,Багаевская,533
RU,IRK,Байкальск,902
RU,BA,Баймак,548
RU,CHE,Бакал,830
RU,KB,Баксан,374
RU,KLU,Балабаново,75
RU,SAR,Балаково,697
RU,NIZ,Балахна,623
RU,MOS,Балашиха,127
RU,SAR,Балашов,698
RU,UD,Балезино,605
RU,ZAB,Балей,957
RU,KGD,Балтийск,289
RU,NVS,Барабинск,932
RU,ALT,Барнаул,844
RU,ULY,Барыш,714
RU,ROS,Батайск,517
RU,CRI,Бахчисарай,2287
RU,KEM,Бачатский,909
RU,CE,Бачиюрт,401
RU,TVE,Бежецк,217
RU,SAM,Безенчук,691
RU,KDA,Белая Глина,427
RU,ROS,Белая Калитва,518
RU,BEL,Белгород,1
RU,BA,Белебей,549
RU,TUL,Белев,241
RU,KEM,Белово,908
RU,AMU,Белогорск,1001
RU,ALT,Белокуриха,848
RU,MOS,Белоозерский,131
RU,BA,Белорецк,551
RU,KDA,Белореченск,410
RU,KHM,Белоярский,774
RU,KHM,Белый Яр,791
RU,NVS,Бердск,933
RU,PER,Березники,664
RU,KYA,Березовка,877
RU,SVE,Березовский,730
RU,KEM,Березовский,912
RU,SE,Беслан,393
RU,ALT,Бийск,849
RU,KHA,Бикин,992
RU,YEV,Биробиджан,1018
RU,BA,Бирск,552
