Country,OblName,City,lang_code,pecom_id
RU,TUL,12 Лет Октября,ru,145153
RU,KEM,Абагур,ru,67555
RU,KK,Абакан,ru,66729
RU,VLG,Абаканово,ru,64897
RU,KYA,Абан,ru,66731
RU,TYU,Абатское,ru,112406
RU,MOS,Аббакумово,ru,179883
RU,ORE,Абдулино,ru,67735
RU,BA,Абзаково,ru,94925
RU,KDA,Абинск,ru,67603
RU,KDA,Абрау-Дюрсо,ru,64061
RU,MUR,Абрым-мыс,ru,67285
RU,MOS,Авсюнино,ru,119888
RU,LEN,Агалатово,ru,116893
RU,CHE,Агаповка,ru,94927
RU,BA,Агидель,ru,63251
RU,KYA,Агинское,ru,66733
RU,ZAB,Агинское,ru,106983
RU,KDA,Агой,ru,68281
RU,KDA,Агроном,ru,112304
RU,TA,Агрыз,ru,66297
RU,KDA,Агуй-Шапсуг,ru,115783
RU,ORE,Адамовка,ru,67775
RU,KDA,Адлер,ru,68283
RU,KC,Адыге Хабль,ru,64063
RU,AD,Адыгейск,ru,66633
RU,TA,Азнакаево,ru,67385
RU,CRI,Азов,ru,68033
RU,KIR,Азово,ru,67667
RU,KO,Айкино,ru,68373
RU,BA,Акбердино,ru,68941
KZ,SEV,Акбулак,ru,67737
RU,ORE,Аккермановка,ru,64053
KZ,ZAP,Аксай,ru,68035
RU,ORE,Аксаково,ru,64275
RU,AST,Аксарайский,ru,65787
RU,TA,Аксубаево,ru,66387
RU,TA,Актаныш,ru,67387
KZ,AKT,Актобе,ru,~101111
RU,TA,Актюбинский,ru,64869
RU,TVE,Акулово,ru,66835
RU,ALT,Акутиха,ru,64069
RU,ZAB,Акша,ru,173898
RU,BA,Акъяр,ru,64765
RU,MOS,Алабино,ru,64071
RU,MOS,Алабушево,ru,65589
RU,SE,Алагир,ru,67983
RU,MUR,Алакуртти,ru,67287
RU,SVE,Алапаевск,ru,66217
RU,CU,Алатырь,ru,68607
RU,SA,Алдан,ru,111170
RU,ALT,Алейск,ru,65857
RU,RYA,Александро-Невский,ru,117670
RU,ROS,Александров,ru,63109
RU,SAR,Александров-Гай,ru,68207
KZ,SEV,Александровка,ru,127730
KZ,SEV,Александровка (Александровский р-н),ru,67739
KZ,SEV,Александровка (Саратовский р-н),ru,65673
KZ,SEV,Александровка (Читинский р-н),ru,173876
KZ,SEV,Александровка (Марксовский р-н),ru,88255
RU,VOR,Александровка-Донская,ru,63875
RU,PER,Александровск,ru,67893
