Country,ID,OblName,PostCodeList,City
RU,36528,MOW,,5663234234
RU,16187,MOS,,1 Мая мкр.
RU,34666,BA,,1-е Туркменево
RU,42598,MOS,,1-й Рабочий Поселок
RU,36692,ROS,347722,1-й Россошинский
RU,36314,KRS,307041,1-я Гостомля
RU,16630,AD,,17 Лет Октября
RU,15338,MOS,,2-ая Смирновка
RU,41597,VOR,397463,2-го участка института им Докучаева
RU,15091,MOS,,2-й Бисеровский Участок
RU,36187,ROS,346817,2-я Александровка
RU,46584,KEM,652196,2-я пристань
RU,16810,MOS,,47 км МКАД
RU,43819,NVS,633227,65 Км
RU,29683,BEL,309425,71 км казарма
RU,35795,KDA,,8 Марта
RU,37383,KEM,,8-е Марта
RU,16196,MOW,,Абабурово
RU,39818,SA,678109,Абага Центральная
RU,16418,AD,385774,Абадзехская
RU,14272,KK,"655750,655751",Абаза
RU,823,KK,"655000,655001,655002,655003,655004,655005,655006,655007,655008,655009,655010,655011,655012,655014,655015,655016,655017,655018,655019,655022,655400,655617,655899,655961,655965,655966",Абакан
RU,24213,KYA,663141,Абалаково
RU,29684,BEL,309671,Абалмасов
RU,1654,KYA,663740,Абан
RU,14633,TYU,627540,Абатское
RU,45126,PNZ,442603,Абашево
RU,16499,VLA,,Аббакумово
RU,23073,MOS,,Аббакумово
RU,46961,VGG,404302,Абганерово
RU,42868,TA,423441,Абдрахманово
RU,2837,ORE,"461740,461742,461743,461744",Абдулино
RU,34734,BA,,Абзаново
RU,1587,KDA,"353320,353322,353329",Абинск
RU,34815,BA,,Аблаево
RU,37524,BA,452771,Аблаево
RU,15092,MOS,,Аборино
RU,2793,MUR,,Абрам-Мыс
RU,38102,VOR,"397490,397491",Абрамовка
RU,46198,ULY,433161,Абрамовка
RU,33273,ROS,,Абрамовка
RU,24447,NVS,632352,Абрамово
RU,42406,SVE,,Абрамово
RU,34333,NIZ,607251,Абрамово
RU,1571,KDA,353995,Абрау-Дюрсо
RU,38609,CRI,297342,Абрикосовка
RU,46748,CRI,,Абрикосовка
RU,38211,CRI,296316,Абрикосово
RU,23738,PSK,,Абросово
RU,31363,TA,423957,Абсалямово
RU,45041,KGN,,Абултаево
RU,42873,CU,429210,Абызово
RU,45143,KHA,682946,Аван
RU,42886,SAM,446643,Авангард
RU,34027,TUL,301349,Авангард
RU,45952,PRI,"690025",Авангард
RU,36561,TVE,170533,Аввакумово
RU,46214,SAM,446281,Августовка
RU,35776,KRS,307211,Авдеева
RU,29685,BEL,,Авдеевка
RU,43340,MOS,"140630",Авдеево
RU,13097,BA,"450580",Авдон
RU,13993,RYA,"391525",Авдотьинка
RU,44479,KOS,,Авдотьино
RU,33147,MOS,,Авдотьино
RU,17162,MOS,"142002,142032",Авдотьино
RU,15093,MOS,"142431,144050",Авдотьино
RU,45037,LIP,399837,Авдулово
